Epoch,Time(s),Loss,Precision
00177,2.2074,0.0994,0.8745
00178,2.2074,0.0992,0.8714
00179,2.2074,0.0990,0.8505
00180,2.2074,0.0990,0.8901
00181,2.2073,0.0991,0.8419
00182,2.2073,0.0990,0.8910
00183,2.2073,0.0989,0.8498
00184,2.2072,0.0986,0.8775
00185,2.2072,0.0984,0.8659
00186,2.2072,0.0983,0.8600
00187,2.2071,0.0982,0.8816
00188,2.2071,0.0982,0.8483
00189,2.2071,0.0981,0.8919
00190,2.2070,0.0982,0.8371
00191,2.2070,0.0981,0.9005
00192,2.2070,0.0982,0.8307
00193,2.2070,0.0981,0.9007
00194,2.2070,0.0980,0.8402
00195,2.2069,0.0977,0.8869
00196,2.2069,0.0975,0.8599
00197,2.2069,0.0973,0.8659
00198,2.2068,0.0971,0.8787
00199,2.2068,0.0971,0.8507
00200,2.2068,0.0971,0.8952
00201,2.2068,0.0972,0.8346
00202,2.2067,0.0973,0.9078
00203,2.2067,0.0977,0.8164
00204,2.2067,0.0976,0.9172
00205,2.2067,0.0983,0.8203
00206,2.2067,0.0973,0.8942
00207,2.2066,0.0968,0.8680
00208,2.2066,0.0963,0.8442
00209,2.2066,0.0965,0.9075
00210,2.2066,0.0970,0.8327
00211,2.2066,0.0966,0.8913
00212,2.2065,0.0962,0.8681
00213,2.2065,0.0959,0.8510
00214,2.2065,0.0960,0.9001
00215,2.2065,0.0962,0.8371
00216,2.2066,0.0961,0.8922
00217,2.2065,0.0959,0.8610
00218,2.2065,0.0956,0.8625
00219,2.2065,0.0955,0.8893
00220,2.2065,0.0956,0.8424
00221,2.2065,0.0956,0.8945
00222,2.2065,0.0955,0.8505
00223,2.2064,0.0953,0.8782
00224,2.2064,0.0951,0.8732
00225,2.2072,0.0950,0.8583
00226,2.2071,0.0950,0.8890
00227,2.2071,0.0950,0.8476
00228,2.2071,0.0950,0.8920
00229,2.2071,0.0949,0.8505
00230,2.2071,0.0947,0.8840
00231,2.2071,0.0946,0.8616
00232,2.2071,0.0945,0.8740
00233,2.2070,0.0944,0.8732
00234,2.2070,0.0943,0.8651
00235,2.2070,0.0942,0.8804
